Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Made Playoffs,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Conf. Finals Wins,Conf. Finals Losses,Conf. Finals Opp.,Won Conf. Finals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Dakota Wizards,DAK,G League,2010,Eastern,3,NA,NA,Yes,1,2,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2010,Eastern,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2010,Eastern,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2010,Eastern,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield Armor,SPR,G League,2010,Eastern,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2010,Western,1,NA,NA,Yes,2,1,Reno Bighorns,Yes,2,1,Austin Toros,Yes,NA,NA,NA,NA,2,0,Tulsa 66ers,Yes
Austin Toros,AST,G League,2010,Western,2,NA,NA,Yes,2,1,Dakota Wizards,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2010,Western,3,NA,NA,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Flash,UTA,G League,2010,Western,4,NA,NA,Yes,1,2,Iowa Energy,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2010,Western,5,NA,NA,Yes,2,1,Sioux Falls Skyforce,Yes,2,1,Iowa Energy,Yes,NA,NA,NA,NA,0,2,Rio Grande Valley Vipers,No
Idaho Stampede,IDA,G League,2010,Western,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albuquerque Thunderbirds,ABQ,G League,2010,Western,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2010,Western,8,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2010,Western,9,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2011,Eastern,1,NA,NA,Yes,2,1,Utah Flash,Yes,2,0,Tulsa 66ers,Yes,NA,NA,NA,NA,2,1,Rio Grande Valley Vipers,Yes
Erie BayHawks,ERI,G League,2011,Eastern,2,NA,NA,Yes,1,2,Reno Bighorns,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2011,Eastern,3,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Wizards,DAK,G League,2011,Eastern,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2011,Eastern,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield Armor,SPR,G League,2011,Eastern,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2011,Eastern,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2011,Western,1,NA,NA,Yes,2,1,Erie BayHawks,Yes,0,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2011,Western,2,NA,NA,Yes,2,1,Bakersfield Jam,Yes,2,0,Reno Bighorns,Yes,NA,NA,NA,NA,1,2,Iowa Energy,No
Tulsa 66ers,TUL,G League,2011,Western,3,NA,NA,Yes,2,0,Texas Legends,Yes,0,2,Iowa Energy,No,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2011,Western,4,NA,NA,Yes,1,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Flash,UTA,G League,2011,Western,5,NA,NA,Yes,1,2,Iowa Energy,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2011,Western,6,NA,NA,Yes,0,2,Tulsa 66ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2011,Western,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austin Toros,AST,G League,2011,Western,8,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico Thunderbirds,NMX,G League,2011,Western,9,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dakota Wizards,DAK,G League,2012,Eastern,1,NA,NA,Yes,0,2,Bakersfield Jam,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield Armor,SPR,G League,2012,Eastern,2,NA,NA,Yes,1,2,Canton Charge,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2012,Eastern,3,NA,NA,Yes,1,2,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2012,Eastern,4,NA,NA,Yes,2,1,Springfield Armor,Yes,1,2,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2012,Eastern,5,NA,NA,Yes,0,2,Los Angeles D-Fenders,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2012,Eastern,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2012,Eastern,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2012,Eastern,8,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles D-Fenders,LOS,G League,2012,Western,1,NA,NA,Yes,2,0,Iowa Energy,Yes,2,0,Bakersfield Jam,Yes,NA,NA,NA,NA,1,2,Austin Toros,No
Austin Toros,AST,G League,2012,Western,2,NA,NA,Yes,2,1,Erie BayHawks,Yes,2,1,Canton Charge,Yes,NA,NA,NA,NA,2,1,Los Angeles D-Fenders,Yes
Bakersfield Jam,BAK,G League,2012,Western,3,NA,NA,Yes,2,0,Dakota Wizards,Yes,0,2,Los Angeles D-Fenders,No,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2012,Western,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2012,Western,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2012,Western,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho Stampede,IDA,G League,2012,Western,7,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reno Bighorns,REN,G League,2012,Western,8,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Grande Valley Vipers,RGV,G League,2013,Central,1,NA,NA,Yes,2,0,Maine Red Claws,Yes,2,0,Tulsa 66ers,Yes,NA,NA,NA,NA,2,0,Santa Cruz Warriors,Yes
Austin Toros,AST,G League,2013,Central,2,NA,NA,Yes,2,0,Bakersfield Jam,Yes,0,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
Tulsa 66ers,TUL,G League,2013,Central,3,NA,NA,Yes,2,1,Canton Charge,Yes,0,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA
Sioux Falls Skyforce,SXF,G League,2013,Central,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Legends,TEX,G League,2013,Central,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa Energy,IWE,G League,2013,Central,6,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canton Charge,CAN,G League,2013,East,1,NA,NA,Yes,1,2,Tulsa 66ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fort Wayne Mad Ants,FWN,G League,2013,East,2,NA,NA,Yes,0,2,Santa Cruz Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maine Red Claws,MAI,G League,2013,East,3,NA,NA,Yes,0,2,Rio Grande Valley Vipers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erie BayHawks,ERI,G League,2013,East,4,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Springfield Armor,SPR,G League,2013,East,5,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bakersfield Jam,BAK,G League,2013,West,1,NA,NA,Yes,0,2,Austin Toros,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
