Team Name,Team Abbr.,Season,League,URL
Asheville Altitude,ASH,2003,G League,https://www.basketball-reference.com/gleague/teams/ASH/2003.html
Asheville Altitude,ASH,2004,G League,https://www.basketball-reference.com/gleague/teams/ASH/2004.html
Asheville Altitude,ASH,2005,G League,https://www.basketball-reference.com/gleague/teams/ASH/2005.html
Ontario Clippers,ONT,2023,G League,https://www.basketball-reference.com/gleague/teams/ONT/2023.html
Ontario Clippers,ONT,2024,G League,https://www.basketball-reference.com/gleague/teams/ONT/2024.html
Agua Caliente Clippers,ACC,2018,G League,https://www.basketball-reference.com/gleague/teams/ACC/2018.html
Agua Caliente Clippers,ACC,2019,G League,https://www.basketball-reference.com/gleague/teams/ACC/2019.html
Agua Caliente Clippers,ACC,2020,G League,https://www.basketball-reference.com/gleague/teams/ACC/2020.html
Agua Caliente Clippers,ACC,2021,G League,https://www.basketball-reference.com/gleague/teams/ACC/2021.html
Agua Caliente Clippers,ACC,2022,G League,https://www.basketball-reference.com/gleague/teams/ACC/2022.html
Osceola Magic,OSC,2024,G League,https://www.basketball-reference.com/gleague/teams/OSC/2024.html
Lakeland Magic,LAK,2018,G League,https://www.basketball-reference.com/gleague/teams/LAK/2018.html
Lakeland Magic,LAK,2019,G League,https://www.basketball-reference.com/gleague/teams/LAK/2019.html
Lakeland Magic,LAK,2020,G League,https://www.basketball-reference.com/gleague/teams/LAK/2020.html
Lakeland Magic,LAK,2021,G League,https://www.basketball-reference.com/gleague/teams/LAK/2021.html
Lakeland Magic,LAK,2022,G League,https://www.basketball-reference.com/gleague/teams/LAK/2022.html
Lakeland Magic,LAK,2023,G League,https://www.basketball-reference.com/gleague/teams/LAK/2023.html
Erie BayHawks,ERI,2009,G League,https://www.basketball-reference.com/gleague/teams/ERI/2009.html
Erie BayHawks,ERI,2010,G League,https://www.basketball-reference.com/gleague/teams/ERI/2010.html
Erie BayHawks,ERI,2011,G League,https://www.basketball-reference.com/gleague/teams/ERI/2011.html
Erie BayHawks,ERI,2012,G League,https://www.basketball-reference.com/gleague/teams/ERI/2012.html
Erie BayHawks,ERI,2013,G League,https://www.basketball-reference.com/gleague/teams/ERI/2013.html
Erie BayHawks,ERI,2014,G League,https://www.basketball-reference.com/gleague/teams/ERI/2014.html
Erie BayHawks,ERI,2015,G League,https://www.basketball-reference.com/gleague/teams/ERI/2015.html
Erie BayHawks,ERI,2016,G League,https://www.basketball-reference.com/gleague/teams/ERI/2016.html
Erie BayHawks,ERI,2017,G League,https://www.basketball-reference.com/gleague/teams/ERI/2017.html
Raptors 905,RAP,2016,G League,https://www.basketball-reference.com/gleague/teams/RAP/2016.html
Raptors 905,RAP,2017,G League,https://www.basketball-reference.com/gleague/teams/RAP/2017.html
Raptors 905,RAP,2018,G League,https://www.basketball-reference.com/gleague/teams/RAP/2018.html
Raptors 905,RAP,2019,G League,https://www.basketball-reference.com/gleague/teams/RAP/2019.html
