Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Play-In,Win Play-In,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
New York Knicks,NYK,NBA,1980,Atlantic,4,Eastern,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1980,Central,4,Eastern,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1980,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1980,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1980,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1980,Pacific,1,Western,1,No,No,NA,NA,NA,NA,4,1,Phoenix Suns,Yes,4,1,Seattle SuperSonics,Yes,4,2,Philadelphia 76ers,Yes
Milwaukee Bucks,MIL,NBA,1980,Midwest,1,Western,2,No,No,NA,NA,NA,NA,3,4,Seattle SuperSonics,No,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1980,Pacific,2,Western,3,No,No,2,1,Portland Trail Blazers,Yes,4,3,Milwaukee Bucks,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1980,Pacific,3,Western,4,No,No,2,1,Kansas City Kings,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1980,Midwest,2,Western,5,No,No,1,2,Phoenix Suns,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1980,Pacific,4,Western,6,No,No,1,2,Seattle SuperSonics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Clippers,SDC,NBA,1980,Pacific,5,Western,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1980,Midwest,3,Western,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1980,Midwest,4,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1980,Pacific,6,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1980,Midwest,5,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1981,Atlantic,1,Eastern,1,No,No,NA,NA,NA,NA,4,0,Chicago Bulls,Yes,4,3,Philadelphia 76ers,Yes,4,2,Houston Rockets,Yes
Milwaukee Bucks,MIL,NBA,1981,Central,1,Eastern,2,No,No,NA,NA,NA,NA,3,4,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1981,Atlantic,2,Eastern,3,No,No,2,0,Indiana Pacers,Yes,4,3,Milwaukee Bucks,Yes,3,4,Boston Celtics,No,NA,NA,NA,NA
New York Knicks,NYK,NBA,1981,Atlantic,3,Eastern,4,No,No,0,2,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1981,Central,2,Eastern,5,No,No,2,0,New York Knicks,Yes,0,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1981,Central,3,Eastern,6,No,No,0,2,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1981,Atlantic,4,Eastern,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1981,Central,4,Eastern,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1981,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1981,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1981,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1981,Pacific,1,Western,1,No,No,NA,NA,NA,NA,3,4,Kansas City Kings,No,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1981,Midwest,1,Western,2,No,No,NA,NA,NA,NA,3,4,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1981,Pacific,2,Western,3,No,No,1,2,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1981,Pacific,3,Western,4,No,No,1,2,Kansas City Kings,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1981,Midwest,2,Western,5,No,No,2,1,Portland Trail Blazers,Yes,4,3,Phoenix Suns,Yes,1,4,Houston Rockets,No,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1981,Midwest,3,Western,6,No,No,2,1,Los Angeles Lakers,Yes,4,3,San Antonio Spurs,Yes,4,1,Kansas City Kings,Yes,2,4,Boston Celtics,No
Golden State Warriors,GSW,NBA,1981,Pacific,4,Western,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1981,Midwest,4,Western,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Clippers,SDC,NBA,1981,Pacific,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1981,Pacific,6,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1981,Midwest,5,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1981,Midwest,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1982,Atlantic,1,Eastern,1,No,No,NA,NA,NA,NA,4,1,Washington Bullets,Yes,3,4,Philadelphia 76ers,No,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,1982,Central,1,Eastern,2,No,No,NA,NA,NA,NA,4,2,Philadelphia 76ers,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1982,Atlantic,2,Eastern,3,No,No,2,0,Atlanta Hawks,Yes,2,4,Milwaukee Bucks,No,4,3,Boston Celtics,Yes,2,4,Los Angeles Lakers,No
New Jersey Nets,NJN,NBA,1982,Atlantic,3,Eastern,4,No,No,0,2,Washington Bullets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1982,Atlantic,4,Eastern,5,No,No,2,0,New Jersey Nets,Yes,1,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1982,Central,2,Eastern,6,No,No,0,2,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1982,Central,2,Eastern,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1982,Central,4,Eastern,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1982,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1982,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1982,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1982,Pacific,1,Western,1,No,No,NA,NA,NA,NA,4,0,Phoenix Suns,Yes,4,0,San Antonio Spurs,Yes,4,2,Philadelphia 76ers,Yes
San Antonio Spurs,SAS,NBA,1982,Midwest,1,Western,2,No,No,NA,NA,NA,NA,4,1,Seattle SuperSonics,Yes,0,4,Los Angeles Lakers,No,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1982,Pacific,2,Western,3,No,No,2,1,Houston Rockets,Yes,1,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1982,Midwest,2,Western,4,No,No,1,2,Phoenix Suns,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1982,Pacific,3,Western,5,No,No,2,1,Denver Nuggets,Yes,0,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1982,Midwest,3,Western,6,No,No,1,2,Seattle SuperSonics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1982,Pacific,4,Western,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1982,Pacific,5,Western,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1982,Midwest,4,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1982,Midwest,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1982,Midwest,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Clippers,SDC,NBA,1982,Pacific,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1983,Atlantic,1,Eastern,1,No,No,NA,NA,NA,NA,4,0,New York Knicks,Yes,4,1,Milwaukee Bucks,Yes,4,0,Los Angeles Lakers,Yes
Milwaukee Bucks,MIL,NBA,1983,Central,1,Eastern,2,No,No,NA,NA,NA,NA,4,0,Boston Celtics,Yes,1,4,Philadelphia 76ers,No,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1983,Atlantic,2,Eastern,3,No,No,2,1,Atlanta Hawks,Yes,0,4,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1983,Atlantic,3,Eastern,4,No,No,0,2,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1983,Atlantic,4,Eastern,5,No,No,2,0,New Jersey Nets,Yes,0,4,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1983,Central,2,Eastern,6,No,No,1,2,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1983,Atlantic,5,Eastern,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1983,Central,3,Eastern,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1983,Central,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1983,Central,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1983,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1983,Pacific,1,Western,1,No,No,NA,NA,NA,NA,4,1,Portland Trail Blazers,Yes,4,2,San Antonio Spurs,Yes,0,4,Philadelphia 76ers,No
San Antonio Spurs,SAS,NBA,1983,Midwest,1,Western,2,No,No,NA,NA,NA,NA,4,1,Denver Nuggets,Yes,2,4,Los Angeles Lakers,No,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1983,Pacific,2,Western,3,No,No,1,2,Denver Nuggets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1983,Pacific,3,Western,4,No,No,0,2,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1983,Pacific,4,Western,5,No,No,2,0,Seattle SuperSonics,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1983,Midwest,2,Western,6,No,No,2,1,Phoenix Suns,Yes,1,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1983,Midwest,3,Western,7,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1983,Midwest,4,Western,8,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1983,Pacific,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1983,Midwest,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Clippers,SDC,NBA,1983,Pacific,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1983,Midwest,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1984,Atlantic,1,Eastern,1,No,No,3,1,Washington Bullets,Yes,4,3,New York Knicks,Yes,4,1,Milwaukee Bucks,Yes,4,3,Los Angeles Lakers,Yes
Milwaukee Bucks,MIL,NBA,1984,Central,1,Eastern,2,No,No,3,2,Atlanta Hawks,Yes,4,2,New Jersey Nets,Yes,1,4,Boston Celtics,No,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1984,Atlantic,2,Eastern,3,No,No,2,3,New Jersey Nets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1984,Central,2,Eastern,4,No,No,2,3,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1984,Atlantic,3,Eastern,5,No,No,3,2,Detroit Pistons,Yes,3,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1984,Atlantic,4,Eastern,6,No,No,3,2,Philadelphia 76ers,Yes,2,4,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1984,Central,3,Eastern,7,No,No,2,3,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1984,Atlantic,5,Eastern,8,No,No,1,3,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1984,Central,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1984,Central,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1984,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1984,Pacific,1,Western,1,No,No,3,0,Kansas City Kings,Yes,4,1,Dallas Mavericks,Yes,4,2,Phoenix Suns,Yes,3,4,Boston Celtics,No
Utah Jazz,UTA,NBA,1984,Midwest,1,Western,2,No,No,3,2,Denver Nuggets,Yes,4,2,Phoenix Suns,Yes,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1984,Pacific,2,Western,3,No,No,2,3,Phoenix Suns,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1984,Midwest,2,Western,4,No,No,3,2,Seattle SuperSonics,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1984,Pacific,3,Western,5,No,No,2,3,Dallas Mavericks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1984,Pacific,4,Western,6,No,No,3,2,Portland Trail Blazers,Yes,2,4,Utah Jazz,No,2,4,Los Angeles Lakers,No,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,1984,Midwest,3,Western,7,No,No,2,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1984,Midwest,4,Western,8,No,No,0,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1984,Pacific,5,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1984,Midwest,5,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Diego Clippers,SDC,NBA,1984,Pacific,6,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1984,Midwest,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1985,Atlantic,1,Eastern,1,No,No,3,1,Cleveland Cavaliers,Yes,4,2,Detroit Pistons,Yes,4,1,Philadelphia 76ers,Yes,2,4,Los Angeles Lakers,No
Milwaukee Bucks,MIL,NBA,1985,Central,1,Eastern,2,No,No,3,1,Chicago Bulls,Yes,0,4,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1985,Atlantic,2,Eastern,3,No,No,3,1,Washington Bullets,Yes,4,0,Milwaukee Bucks,Yes,1,4,Boston Celtics,No,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1985,Central,2,Eastern,4,No,No,3,0,New Jersey Nets,Yes,2,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1985,Atlantic,3,Eastern,5,No,No,0,3,Detroit Pistons,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1985,Atlantic,4,Eastern,6,No,No,1,3,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1985,Central,3,Eastern,7,No,No,1,3,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1985,Central,4,Eastern,8,No,No,1,3,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1985,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1985,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1985,Central,6,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1985,Pacific,1,Western,1,No,No,3,0,Phoenix Suns,Yes,4,1,Portland Trail Blazers,Yes,4,1,Denver Nuggets,Yes,4,2,Boston Celtics,Yes
Denver Nuggets,DEN,NBA,1985,Midwest,1,Western,2,No,No,3,2,San Antonio Spurs,Yes,4,1,Los Angeles Lakers,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1985,Midwest,2,Western,3,No,No,2,3,Utah Jazz,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1985,Midwest,3,Western,4,No,No,1,3,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1985,Pacific,2,Western,5,No,No,3,1,Dallas Mavericks,Yes,1,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1985,Midwest,4,Western,6,No,No,3,2,Houston Rockets,Yes,1,4,Denver Nuggets,No,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1985,Midwest,5,Western,7,No,No,2,3,Denver Nuggets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1985,Pacific,3,Western,8,No,No,0,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas City Kings,KCK,NBA,1985,Midwest,6,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1985,Pacific,4,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,1985,Pacific,5,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,1985,Pacific,6,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,1986,Atlantic,1,Eastern,1,No,No,3,0,Chicago Bulls,Yes,4,1,Atlanta Hawks,Yes,4,0,Milwaukee Bucks,Yes,4,2,Houston Rockets,Yes
Milwaukee Bucks,MIL,NBA,1986,Central,1,Eastern,2,No,No,3,0,New Jersey Nets,Yes,4,3,Philadelphia 76ers,Yes,0,4,Boston Celtics,No,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,1986,Atlantic,2,Eastern,3,No,No,3,2,Washington Bullets,Yes,3,4,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,1986,Central,2,Eastern,4,No,No,3,1,Detroit Pistons,Yes,1,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,1986,Central,3,Eastern,5,No,No,1,3,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Bullets,WSB,NBA,1986,Atlantic,3,Eastern,6,No,No,2,3,Philadelphia 76ers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,1986,Atlantic,4,Eastern,7,No,No,0,3,Milwaukee Bucks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,1986,Central,4,Eastern,8,No,No,0,3,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,1986,Central,5,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,1986,Central,6,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,1986,Atlantic,5,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,1986,Pacific,1,Western,1,No,No,3,0,San Antonio Spurs,Yes,4,2,Dallas Mavericks,Yes,1,4,Houston Rockets,No,NA,NA,NA,NA
Houston Rockets,HOU,NBA,1986,Midwest,1,Western,2,No,No,3,0,Sacramento Kings,Yes,4,2,Denver Nuggets,Yes,4,1,Los Angeles Lakers,Yes,2,4,Boston Celtics,No
Denver Nuggets,DEN,NBA,1986,Midwest,2,Western,3,No,No,3,1,Portland Trail Blazers,Yes,2,4,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,1986,Midwest,3,Western,4,No,No,3,1,Utah Jazz,Yes,2,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,1986,Midwest,4,Western,5,No,No,1,3,Dallas Mavericks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,1986,Pacific,2,Western,6,No,No,1,3,Denver Nuggets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,1986,Midwest,5,Western,7,No,No,0,3,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,1986,Midwest,6,Western,8,No,No,0,3,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,1986,Pacific,3,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,1986,Pacific,4,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle SuperSonics,SEA,NBA,1986,Pacific,5,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
