Team Name,Team Abbr.,League,Season,Conference,Conference Rank,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Phoenix Mercury,PHO,WNBA,2003,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2004,Eastern,1,2,1,Washington Mystics,Yes,NA,NA,NA,NA,2,0,New York Liberty,Yes,1,2,Seattle Storm,No
New York Liberty,NYL,WNBA,2004,Eastern,2,2,1,Detroit Shock,Yes,NA,NA,NA,NA,0,2,Connecticut Sun,No,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2004,Eastern,3,1,2,New York Liberty,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2004,Eastern,4,1,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2004,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Fever,IND,WNBA,2004,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2004,Western,1,1,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seattle Storm,SEA,WNBA,2004,Western,2,2,0,Minnesota Lynx,Yes,NA,NA,NA,NA,2,1,Sacramento Monarchs,Yes,2,1,Connecticut Sun,Yes
Minnesota Lynx,MIN,WNBA,2004,Western,3,0,2,Seattle Storm,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2004,Western,4,2,1,Los Angeles Sparks,Yes,NA,NA,NA,NA,1,2,Seattle Storm,No,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2004,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2004,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2004,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2005,Eastern,1,2,0,Detroit Shock,Yes,NA,NA,NA,NA,2,0,Indiana Fever,Yes,1,3,Sacramento Monarchs,No
Indiana Fever,IND,WNBA,2005,Eastern,2,2,0,New York Liberty,Yes,NA,NA,NA,NA,0,2,Connecticut Sun,No,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2005,Eastern,3,0,2,Indiana Fever,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2005,Eastern,4,0,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2005,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2005,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2005,Western,1,2,0,Los Angeles Sparks,Yes,NA,NA,NA,NA,2,0,Houston Comets,Yes,3,1,Connecticut Sun,Yes
Seattle Storm,SEA,WNBA,2005,Western,2,1,2,Houston Comets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Comets,HOU,WNBA,2005,Western,3,2,1,Seattle Storm,Yes,NA,NA,NA,NA,0,2,Sacramento Monarchs,No,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2005,Western,4,0,2,Sacramento Monarchs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Mercury,PHO,WNBA,2005,Western,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Lynx,MIN,WNBA,2005,Western,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Silver Stars,SAS,WNBA,2005,Western,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Connecticut Sun,CON,WNBA,2006,Eastern,1,2,0,Washington Mystics,Yes,NA,NA,NA,NA,1,2,Detroit Shock,No,NA,NA,NA,NA
Detroit Shock,DET,WNBA,2006,Eastern,2,2,0,Indiana Fever,Yes,NA,NA,NA,NA,2,1,Connecticut Sun,Yes,3,2,Sacramento Monarchs,Yes
Indiana Fever,IND,WNBA,2006,Eastern,3,0,2,Detroit Shock,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Mystics,WAS,WNBA,2006,Eastern,4,0,2,Connecticut Sun,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Sting,CHA,WNBA,2006,Eastern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Liberty,NYL,WNBA,2006,Eastern,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Sky,CHI,WNBA,2006,Eastern,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Sparks,LAS,WNBA,2006,Western,1,2,1,Seattle Storm,Yes,NA,NA,NA,NA,0,2,Sacramento Monarchs,No,NA,NA,NA,NA
Sacramento Monarchs,SAC,WNBA,2006,Western,2,2,0,Houston Comets,Yes,NA,NA,NA,NA,2,0,Los Angeles Sparks,Yes,2,3,Detroit Shock,No
